hsa-mir-122-5p,nm_003045.5
hsa-mir-122-5p,nm_003183.6
hsa-mir-122-5p,nm_001289979.2
hsa-mir-122-5p,nm_001198850.2
hsa-mir-122-5p,nm_001270940.2
hsa-mir-122-5p,nm_001134296.1
hsa-mir-122-5p,nm_001319945.2
hsa-mir-122-5p,nm_017540.3
hsa-mir-122-5p,nm_015375.3
hsa-mir-122-5p,nm_001243891.2
hsa-mir-122-5p,nm_001206729.1
hsa-mir-122-5p,nm_002751.7
hsa-mir-122-5p,nm_173511.4
hsa-mir-122-5p,nm_000702.4
hsa-mir-122-5p,nm_004418.4
hsa-mir-122-5p,nm_001319839.2
hsa-mir-122-5p,nm_005149.3
hsa-mir-122-5p,nm_001282529.1
hsa-mir-122-5p,nm_001308103.2
hsa-mir-122-5p,nm_000615.7
hsa-mir-122-5p,nm_001110792.2
hsa-mir-122-5p,nm_001012505.1
hsa-mir-122-5p,nm_001002233.1
hsa-mir-122-5p,nm_001363953.1
hsa-mir-122-5p,nm_001282985.1
hsa-mir-122-5p,nm_000034.3
hsa-mir-122-5p,nm_001128930.2
hsa-mir-122-5p,nm_032815.3
hsa-mir-122-5p,nm_001127493.2
hsa-mir-15a-5p,nm_007294.3
hsa-mir-16-5p,nm_007294.3
hsa-mir-143-3p,nm_001135095.2
hsa-mir-128-3p,nm_001243076.2
hsa-mir-29a-3p,nm_006272.3
hsa-mir-29b-3p,nm_006272.3
hsa-mir-21-5p,nm_001199492.1
hsa-let-7i-5p,nm_003266.4
hsa-mir-181b-5p,nm_001366803.1
hsa-mir-181b-5p,nm_000826.4
hsa-mir-203a-3p,nm_005157.6
hsa-mir-29a-3p,nm_001320892.2
hsa-mir-29b-3p,nm_001320892.2
hsa-mir-29c-3p,nm_001320892.2
hsa-mir-29a-3p,nm_001207055.2
hsa-mir-29b-3p,nm_001207055.2
hsa-mir-29c-3p,nm_001207055.2
hsa-mir-17-5p,nm_001001890.3
hsa-mir-20a-5p,nm_001001890.3
hsa-mir-106a-5p,nm_001001890.3
hsa-mir-221-3p,nm_004064.4
hsa-mir-222-3p,nm_004064.4
hsa-mir-17-5p,nm_001271629.2
hsa-mir-17-5p,nm_000633.2
hsa-mir-17-5p,nm_001193511.2
hsa-mir-20a-5p,nm_001271629.2
hsa-mir-20a-5p,nm_000633.2
hsa-mir-20a-5p,nm_001193511.2
hsa-mir-320a,nm_001128148.3
hsa-mir-155-5p,nm_001135733.2
hsa-mir-122-5p,nm_001364015.1
hsa-mir-126-3p,nm_005206.5
hsa-mir-429,nm_001042681.2
hsa-mir-200b-3p,nm_001042681.2
hsa-let-7c-5p,nm_001354870.1
hsa-mir-16-5p,nm_000633.2
hsa-let-7a-5p,nm_001039111.3
hsa-let-7c-5p,nm_001039111.3
hsa-let-7a-5p,nm_004496.5
hsa-let-7a-5p,nm_003889.3
hsa-let-7a-5p,nm_000376.3
hsa-mir-378a-5p,nm_007275.2
hsa-mir-378a-5p,nm_001178133.2
hsa-mir-125b-5p,nm_001007156.2
hsa-mir-125a-5p,nm_001007156.2
hsa-mir-9-5p,nm_001007156.2
hsa-mir-21-5p,nm_001190737.2
hsa-mir-16-5p,nm_001238.4
hsa-mir-34b-5p,nm_001320793.2
hsa-mir-1-3p,nm_018290.4
hsa-mir-1-3p,nm_001201477.2
hsa-mir-1-3p,nm_080725.3
hsa-mir-16-5p,nm_001319077.2
hsa-mir-1-3p,nm_001025107.3
hsa-mir-200b-3p,nm_001143820.2
hsa-mir-488-5p,nm_000044.6
hsa-mir-199a-3p,nm_000610.4
hsa-mir-107,nm_001130172.2
hsa-mir-15a-5p,nm_001130172.2
hsa-mir-141-3p,nm_001171653.2
hsa-mir-23a-3p,nm_005524.4
hsa-mir-199b-5p,nm_005562.3
hsa-mir-199a-5p,nm_001203247.2
hsa-mir-147a,nm_001025366.3
hsa-mir-134-5p,nm_001025366.3
hsa-mir-140-5p,nm_001025366.3
hsa-mir-29b-3p,nm_001025366.3
hsa-mir-107,nm_001025366.3
hsa-mir-141-3p,nm_001135599.3
hsa-mir-200c-3p,nm_001128128.2
hsa-mir-155-5p,nm_001292034.3
hsa-mir-24-3p,nm_004302.5
hsa-mir-451a,nm_002415.2
hsa-mir-21-5p,nm_001204.7
hsa-mir-138-5p,nm_033102.3
hsa-mir-449a,nm_004964.3
hsa-mir-1-3p,nm_001098511.2
hsa-mir-210-3p,nm_001004356.3
hsa-mir-200a-3p,nm_001128128.2
hsa-mir-29a-3p,nm_001024736.2
hsa-mir-195-5p,nm_001143976.1
hsa-mir-141-3p,nm_001286818.1
hsa-mir-103a-3p,nm_001257199.2
hsa-mir-24-3p,nm_001303627.1
hsa-mir-16-5p,nm_001241.4
hsa-mir-16-5p,nm_001025366.3
hsa-mir-15a-5p,nm_001195071.1
hsa-mir-10a-5p,nm_001321150.2
hsa-mir-212-3p,nm_001110792.2
hsa-mir-9-5p,nm_001193508.1
hsa-mir-9-3p,nm_015156.4
hsa-mir-208a-3p,nm_005121.3
hsa-mir-15b-5p,nm_001238.4
hsa-mir-210-3p,nm_001297419.1
hsa-mir-373-3p,nm_001297419.1
hsa-mir-373-3p,nm_001244713.1
hsa-mir-101-3p,nm_001197320.1
hsa-mir-513a-5p,nm_001267706.1
hsa-mir-200c-3p,nm_001197181.2
hsa-mir-424-5p,nm_001134673.4
hsa-mir-376a-5p,nm_001201459.1
hsa-mir-376a-5p,nm_001301089.1
hsa-mir-7-5p,nm_001346897.2
hsa-let-7e-5p,nm_001284335.1
hsa-let-7b-5p,nm_144563.3
hsa-mir-101-3p,nm_001203247.2
hsa-mir-126-3p,nm_033102.3
hsa-mir-26a-5p,nm_001759.4
hsa-mir-26a-5p,nm_004702.2
hsa-mir-210-3p,nm_004952.5
hsa-mir-10b-5p,nm_002148.3
hsa-mir-29b-3p,nm_001197320.1
hsa-let-7g-5p,nm_001015886.1
hsa-let-7d-5p,nm_001015886.1
hsa-mir-155-5p,nm_001011545.1
hsa-mir-22-3p,nm_001001928.3
hsa-mir-22-3p,nm_001719.3
hsa-mir-182-5p,nm_015270.5
hsa-mir-96-5p,nm_015270.5
hsa-mir-182-5p,nm_000248.3
hsa-mir-96-5p,nm_000248.3
hsa-mir-1-3p,nm_002156.5
hsa-mir-1-3p,nm_002154.4
hsa-mir-133a-3p,nm_001229.5
hsa-mir-1-3p,nm_000165.5
hsa-mir-1-3p,nm_000891.2
hsa-mir-21-5p,nm_000366.6
hsa-mir-510-5p,nm_001256613.1
hsa-mir-221-3p,nm_002147.3
hsa-mir-199a-3p,nm_000245.4
hsa-mir-320a,nm_001722.3
hsa-mir-155-5p,nm_001313941.2
hsa-mir-21-5p,nm_002890.3
hsa-mir-221-3p,nm_000076.2
hsa-mir-222-3p,nm_000076.2
hsa-mir-30a-5p,nm_001143805.1
hsa-mir-138-5p,nm_001193376.2
hsa-mir-135a-5p,nm_000038.6
hsa-mir-135b-5p,nm_000038.6
hsa-mir-9-5p,nm_001198.4
hsa-let-7a-5p,nm_001198.4
hsa-mir-106a-5p,nm_000484.4
hsa-mir-520c-3p,nm_000484.4
hsa-mir-210-3p,nm_002522.4
hsa-mir-29c-3p,nm_000088.3
hsa-mir-29c-3p,nm_000090.3
hsa-mir-29c-3p,nm_001303110.2
hsa-mir-29c-3p,nm_001846.4
hsa-mir-146a-5p,nm_007294.3
hsa-mir-146a-5p,nm_000059.3
hsa-mir-126-3p,nm_152739.4
