hsa-let-7a-3p,db07715
hsa-let-7f-5p,db04224
hsa-mir-1-3p,db01914
hsa-mir-1-3p,db03796
hsa-mir-10a-5p,db01268
hsa-mir-101-3p,db03568
hsa-mir-103a-3p,db00295
hsa-mir-105-5p,db01914
hsa-mir-106a-5p,db00515
hsa-mir-106b-5p,db03796
hsa-mir-107,db00295
hsa-mir-10b-3p,db07715
hsa-mir-122-5p,db01914
hsa-mir-1227-3p,db01076
hsa-mir-1238-3p,db07715
hsa-mir-124-3p,db14206
hsa-mir-1255a,db01076
hsa-mir-125a-5p,db11672
hsa-mir-125b-5p,db07715
hsa-mir-125b-5p,db01577
hsa-mir-126-3p,db00136
hsa-mir-1260b,db01645
hsa-mir-1267,db01076
hsa-mir-1268a,db07715
hsa-mir-127-5p,db01914
hsa-mir-128-3p,db00295
hsa-mir-1290,db07715
hsa-mir-129-2-3p,db01914
hsa-mir-129-5p,db01914
hsa-mir-133a-3p,db01914
hsa-mir-133b,db01914
hsa-mir-133b,db00295
hsa-mir-134-5p,db00317
hsa-mir-135a-5p,db07715
hsa-mir-135a-5p,db01914
hsa-mir-135b-5p,db07715
hsa-mir-135b-5p,db01914
hsa-mir-137-3p,db07715
hsa-mir-138-5p,db01914
hsa-mir-139-3p,db01914
hsa-mir-141-3p,db07715
hsa-mir-141-3p,db01914
hsa-mir-142-5p,db01914
hsa-mir-143-3p,db03568
hsa-mir-145-5p,db08881
hsa-mir-145-5p,db03568
hsa-mir-146b-5p,db01076
hsa-mir-147a,db01914
hsa-mir-147a,db01076
hsa-mir-148a-3p,db01914
hsa-mir-150-5p,db00515
hsa-mir-150-5p,db01914
hsa-mir-150-5p,db01577
hsa-mir-153-3p,db07715
hsa-mir-1539,db01076
hsa-mir-155-5p,db04690
hsa-mir-155-5p,db00907
hsa-mir-155-5p,db01914
hsa-mir-155-5p,db12025
hsa-mir-15a-5p,db00136
hsa-mir-15a-3p,db00480
hsa-mir-16-5p,db00515
hsa-mir-16-1-3p,db07715
hsa-mir-17-5p,db00515
hsa-mir-17-5p,db04690
hsa-mir-181a-5p,db00515
hsa-mir-181a-5p,db00997
hsa-mir-181a-5p,db04224
hsa-mir-181b-5p,db00444
hsa-mir-181c-5p,db00136
hsa-mir-182-5p,db01076
hsa-mir-182-5p,db01914
hsa-mir-182-5p,db00515
hsa-mir-1827,db01076
hsa-mir-187-3p,db01914
hsa-mir-188-3p,db01914
hsa-mir-18b-3p,db07715
hsa-mir-190a-5p,db01914
hsa-mir-190b-5p,db01076
hsa-mir-193a-3p,db00398
hsa-mir-193a-3p,db00480
hsa-mir-194-5p,db01914
hsa-mir-194-5p,db01076
hsa-mir-196b-5p,db00480
hsa-mir-199a-3p,db07715
hsa-mir-199a-5p,db01914
hsa-mir-199b-3p,db07715
hsa-mir-199b-5p,db01914
hsa-mir-200b-3p,db01914
hsa-mir-200c-3p,db01914
hsa-mir-203a-3p,db01914
hsa-mir-205-5p,db01914
hsa-mir-208a-3p,db01914
hsa-mir-20a-5p,db00907
hsa-mir-20b-5p,db00136
hsa-mir-21-5p,db00441
hsa-mir-21-5p,db00184
hsa-mir-21-5p,db01268
hsa-mir-210-3p,db00480
hsa-mir-212-3p,db00907
hsa-mir-218-5p,db07715
hsa-mir-218-5p,db05767
hsa-mir-219a-1-3p,db01914
hsa-mir-221-3p,db07715
hsa-mir-221-3p,db01268
hsa-mir-222-3p,db07715
hsa-mir-222-3p,db01268
hsa-mir-223-3p,db01645
hsa-mir-223-3p,db01577
hsa-mir-224-5p,db01076
hsa-mir-23b-3p,db01914
hsa-mir-27b-5p,db00480
hsa-mir-28-5p,db01577
hsa-mir-296-3p,db01914
hsa-mir-299-5p,db01914
hsa-mir-29a-5p,db07715
hsa-mir-300,db00480
hsa-mir-301a-3p,db07715
hsa-mir-302a-3p,db01914
hsa-mir-302b-3p,db00445
hsa-mir-302b-3p,db01914
hsa-mir-302c-3p,db01914
hsa-mir-302d-3p,db07715
hsa-mir-30a-5p,db01229
hsa-mir-30d-5p,db00515
hsa-mir-32-3p,db07715
hsa-mir-320a-3p,db00619
hsa-mir-323b-5p,db01076
hsa-mir-329-3p,db01914
hsa-mir-330-5p,db01914
hsa-mir-331-5p,db01076
hsa-mir-342-5p,db01914
hsa-mir-346,db01914
hsa-mir-34a-5p,db00515
hsa-mir-34a-5p,db00480
hsa-mir-34a-5p,db11672
hsa-mir-34a-5p,db07715
hsa-mir-34a-5p,db01645
hsa-mir-34a-3p,db00480
hsa-mir-34c-5p,db01914
hsa-mir-363-3p,db07715
hsa-mir-365a-3p,db00734
hsa-mir-367-3p,db01229
hsa-mir-367-3p,db01914
hsa-mir-369-3p,db01914
hsa-mir-372-3p,db01914
hsa-mir-373-3p,db07715
hsa-mir-374b-3p,db07715
hsa-mir-375-3p,db01914
hsa-mir-377-3p,db01914
hsa-mir-378a-5p,db00480
hsa-mir-381-3p,db01914
hsa-mir-383-5p,db01914
hsa-mir-409-5p,db01076
hsa-mir-409-5p,db01914
hsa-mir-411-5p,db00136
hsa-mir-429,db01914
hsa-mir-433-5p,db01914
hsa-mir-448,db01076
hsa-mir-449a,db00515
hsa-mir-449a,db01914
hsa-mir-449a,db00480
hsa-mir-449b-5p,db01914
hsa-mir-450b-5p,db01914
hsa-mir-451a,db00480
hsa-mir-454-5p,db01914
hsa-mir-485-5p,db01914
hsa-mir-486-3p,db01914
hsa-mir-487a-3p,db01076
hsa-mir-487b-3p,db00317
hsa-mir-487b-3p,db01914
hsa-mir-488-3p,db01914
hsa-mir-489-5p,db01914
hsa-mir-490-5p,db07715
hsa-mir-492,db01914
hsa-mir-494-3p,db01076
hsa-mir-499a-5p,db01914
hsa-mir-500a-5p,db01076
hsa-mir-501-5p,db01914
hsa-mir-502-3p,db01914
hsa-mir-502-5p,db01914
hsa-mir-504-5p,db07715
hsa-mir-505-3p,db01914
hsa-mir-506-3p,db01914
hsa-mir-507,db01914
hsa-mir-508-3p,db01914
hsa-mir-509-5p,db01914
hsa-mir-510-5p,db00136
hsa-mir-512-3p,db07715
hsa-mir-512-3p,db01914
hsa-mir-512-5p,db01914
hsa-mir-515-3p,db01914
hsa-mir-516b-5p,db01914
hsa-mir-518a-3p,db01914
hsa-mir-518d-5p,db01914
hsa-mir-518f-3p,db01914
hsa-mir-519d-3p,db01914
hsa-mir-520a-3p,db01914
hsa-mir-520b-3p,db01914
hsa-mir-520c-3p,db00734
hsa-mir-520e-3p,db01914
hsa-mir-520f-3p,db01914
hsa-mir-520h,db00997
hsa-mir-521,db01914
hsa-mir-523-3p,db01914
hsa-mir-525-5p,db01914
hsa-mir-526b-5p,db01914
hsa-mir-539-5p,db01076
hsa-mir-542-5p,db01914
hsa-mir-544a,db01914
hsa-mir-545-3p,db01914
hsa-mir-548b-5p,db01914
hsa-mir-548c-5p,db07715
hsa-mir-548d-5p,db01076
hsa-mir-548d-5p,db01914
hsa-mir-549a-3p,db07715
hsa-mir-549a-3p,db01076
hsa-mir-550a-5p,db01076
hsa-mir-553,db01076
hsa-mir-555,db01076
hsa-mir-561-3p,db01914
hsa-mir-570-3p,db01914
hsa-mir-573,db01076
hsa-mir-576-3p,db01914
hsa-mir-576-5p,db01914
hsa-mir-579-3p,db01914
hsa-mir-582-3p,db01914
hsa-mir-583,db01076
hsa-mir-586,db01076
hsa-mir-589-3p,db01914
hsa-mir-589-3p,db00480
hsa-mir-590-3p,db07715
hsa-mir-597-5p,db01914
hsa-mir-601,db01076
hsa-mir-615-3p,db01914
hsa-mir-616-5p,db01914
hsa-mir-627-5p,db01914
hsa-mir-629-5p,db01914
hsa-mir-632,db07715
hsa-mir-647,db01076
hsa-mir-651-5p,db01076
hsa-mir-651-5p,db01914
hsa-mir-654-3p,db01914
hsa-mir-654-5p,db01076
hsa-mir-654-5p,db01914
hsa-mir-655-3p,db00317
hsa-mir-658,db01076
hsa-mir-659-3p,db00136
hsa-mir-661,db01076
hsa-mir-675-5p,db07715
hsa-mir-708-5p,db01914
hsa-mir-760,db01076
hsa-mir-770-5p,db01076
hsa-mir-874-3p,db01914
hsa-mir-874-3p,db00480
hsa-mir-875-3p,db01914
hsa-mir-885-3p,db01914
hsa-mir-885-5p,db01914
hsa-mir-887-5p,db01914
hsa-mir-888-5p,db01914
hsa-mir-889-5p,db01914
hsa-mir-891a-5p,db01914
hsa-mir-892a,db01076
hsa-mir-892b,db01076
hsa-mir-9-5p,db01914
hsa-mir-935,db01076
hsa-mir-938,db07715
hsa-mir-96-5p,db01914
hsa-mir-98-5p,db00480
